chain,feature_idx,loadbearing_rank,delta_ce,density,quadrant,top_rank,prompt_idx,token_pos,token_str,context_pre,context_post,activation,is_math_token
flexible,5505,0,+0.1578,0.0161,reweighted,0,95,92,=, = <<200-80,120>>120 are,1.8848,1
flexible,5505,0,+0.1578,0.0161,reweighted,1,0,1,et,Jan,’s ducks lay 16 eggs per,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,2,0,2,’s,Janet, ducks lay 16 eggs per day,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,3,0,3, ducks,Janet’s, lay 16 eggs per day.,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,4,0,4, lay,Janet’s ducks, 16 eggs per day. She,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,5,0,5, ,Janet’s ducks lay,16 eggs per day. She eats,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,6,0,6,1,Janet’s ducks lay ,6 eggs per day. She eats three,0.0000,1
flexible,5505,0,+0.1578,0.0161,reweighted,7,0,7,6,Janet’s ducks lay 1, eggs per day. She eats three for,0.0000,1
flexible,5505,0,+0.1578,0.0161,reweighted,8,0,8, eggs,Janet’s ducks lay 16, per day. She eats three for breakfast,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,9,0,9, per,et’s ducks lay 16 eggs, day. She eats three for breakfast every,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,10,0,10, day,’s ducks lay 16 eggs per,. She eats three for breakfast every morning,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,11,0,11,., ducks lay 16 eggs per day, She eats three for breakfast every morning and,0.0000,1
flexible,5505,0,+0.1578,0.0161,reweighted,12,0,12, She, lay 16 eggs per day., eats three for breakfast every morning and b,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,13,0,13, eats, 16 eggs per day. She, three for breakfast every morning and bakes,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,14,0,14, three,16 eggs per day. She eats, for breakfast every morning and bakes muff,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,15,0,15, for,6 eggs per day. She eats three, breakfast every morning and bakes muffins,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,16,0,16, breakfast, eggs per day. She eats three for, every morning and bakes muffins for,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,17,0,17, every, per day. She eats three for breakfast, morning and bakes muffins for her,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,18,0,18, morning, day. She eats three for breakfast every, and bakes muffins for her friends,0.0000,0
flexible,5505,0,+0.1578,0.0161,reweighted,19,0,19, and,. She eats three for breakfast every morning, bakes muffins for her friends every,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,0,0,1,et,Jan,’s ducks lay 16 eggs per,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,1,0,2,’s,Janet, ducks lay 16 eggs per day,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,2,0,3, ducks,Janet’s, lay 16 eggs per day.,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,3,0,4, lay,Janet’s ducks, 16 eggs per day. She,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,4,0,5, ,Janet’s ducks lay,16 eggs per day. She eats,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,5,0,6,1,Janet’s ducks lay ,6 eggs per day. She eats three,0.0000,1
flexible,1193,1,+0.0837,0.0161,stable,6,0,7,6,Janet’s ducks lay 1, eggs per day. She eats three for,0.0000,1
flexible,1193,1,+0.0837,0.0161,stable,7,0,8, eggs,Janet’s ducks lay 16, per day. She eats three for breakfast,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,8,0,9, per,et’s ducks lay 16 eggs, day. She eats three for breakfast every,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,9,0,10, day,’s ducks lay 16 eggs per,. She eats three for breakfast every morning,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,10,0,11,., ducks lay 16 eggs per day, She eats three for breakfast every morning and,0.0000,1
flexible,1193,1,+0.0837,0.0161,stable,11,0,12, She, lay 16 eggs per day., eats three for breakfast every morning and b,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,12,0,13, eats, 16 eggs per day. She, three for breakfast every morning and bakes,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,13,0,14, three,16 eggs per day. She eats, for breakfast every morning and bakes muff,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,14,0,15, for,6 eggs per day. She eats three, breakfast every morning and bakes muffins,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,15,0,16, breakfast, eggs per day. She eats three for, every morning and bakes muffins for,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,16,0,17, every, per day. She eats three for breakfast, morning and bakes muffins for her,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,17,0,18, morning, day. She eats three for breakfast every, and bakes muffins for her friends,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,18,0,19, and,. She eats three for breakfast every morning, bakes muffins for her friends every,0.0000,0
flexible,1193,1,+0.0837,0.0161,stable,19,0,20, b, She eats three for breakfast every morning and,akes muffins for her friends every day,0.0000,0
flexible,6265,2,+0.0810,0.0562,stable,0,97,2,a,When Fred," cooks canned tomatoes into sauce, they lose",7.9531,0
flexible,6265,2,+0.0810,0.0562,stable,1,17,1,ill,J, gets paid $20 per hour to,6.7773,0
